Product_ID,Product_Name,Category,Price,Quantity_Sold,Date_Sold,Total_Sales
1001,Product_1,Electronics,10.0,29,2024-01-01,290.0
1002,Product_2,Clothing,11.92,26,2024-01-02,309.92
1003,Product_3,Electronics,13.84,26,2024-01-03,359.84
1004,Product_4,Grocery,15.76,32,2024-01-04,504.32
1005,Product_5,Electronics,17.68,30,2024-01-05,530.4
1006,Product_6,Grocery,19.6,19,2024-01-06,372.40000000000003
1007,Product_7,Clothing,21.52,24,2024-01-07,516.48
1008,Product_8,Electronics,23.43,24,2024-01-08,562.3199999999999
1009,Product_9,Grocery,25.35,35,2024-01-09,887.25
1010,Product_10,Clothing,27.27,41,2024-01-10,1118.07
1011,Product_11,Electronics,29.19,28,2024-01-11,817.32
1012,Product_12,Grocery,31.11,32,2024-01-12,995.52
1013,Product_13,Grocery,33.03,35,2024-01-13,1156.05
1014,Product_14,Clothing,34.95,32,2024-01-14,1118.4
1015,Product_15,Grocery,36.87,33,2024-01-15,1216.7099999999998
1016,Product_16,Clothing,38.79,37,2024-01-16,1435.23
1017,Product_17,Grocery,40.71,35,2024-01-17,1424.8500000000001
1018,Product_18,Clothing,42.63,20,2024-01-18,852.6
1019,Product_19,Clothing,44.55,32,2024-01-19,1425.6
1020,Product_20,Toys,46.46,24,2024-01-20,1115.04
1021,Product_21,Toys,48.38,28,2024-01-21,1354.64
1022,Product_22,Electronics,50.3,28,2024-01-22,1408.3999999999999
1023,Product_23,Toys,52.22,25,2024-01-23,1305.5
1024,Product_24,Clothing,54.14,32,2024-01-24,1732.48
1025,Product_25,Toys,56.06,36,2024-01-25,2018.16
1026,Product_26,Toys,57.98,24,2024-01-26,1391.52
1027,Product_27,Grocery,59.9,28,2024-01-27,1677.2
1028,Product_28,Clothing,61.82,26,2024-01-28,1607.32
1029,Product_29,Grocery,63.74,20,2024-01-29,1274.8
1030,Product_30,Clothing,65.66,33,2024-01-30,2166.7799999999997
1031,Product_31,Clothing,67.58,25,2024-01-31,1689.5
1032,Product_32,Toys,69.49,35,2024-02-01,2432.1499999999996
1033,Product_33,Toys,71.41,23,2024-02-02,1642.4299999999998
1034,Product_34,Clothing,73.33,22,2024-02-03,1613.26
1035,Product_35,Grocery,75.25,32,2024-02-04,2408.0
1036,Product_36,Clothing,77.17,23,2024-02-05,1774.91
1037,Product_37,Grocery,79.09,29,2024-02-06,2293.61
1038,Product_38,Electronics,81.01,32,2024-02-07,2592.32
1039,Product_39,Electronics,82.93,31,2024-02-08,2570.8300000000004
1040,Product_40,Electronics,84.85,35,2024-02-09,2969.75
1041,Product_41,Toys,86.77,30,2024-02-10,2603.1
1042,Product_42,Toys,88.69,37,2024-02-11,3281.5299999999997
1043,Product_43,Toys,90.61,26,2024-02-12,2355.86
1044,Product_44,Grocery,92.53,25,2024-02-13,2313.25
1045,Product_45,Grocery,94.44,33,2024-02-14,3116.52
1046,Product_46,Clothing,96.36,31,2024-02-15,2987.16
1047,Product_47,Clothing,98.28,31,2024-02-16,3046.68
1048,Product_48,Toys,100.2,40,2024-02-17,4008.0
1049,Product_49,Electronics,102.12,31,2024-02-18,3165.7200000000003
1050,Product_50,Toys,104.04,28,2024-02-19,2913.1200000000003
1051,Product_51,Electronics,105.96,24,2024-02-20,2543.04
1052,Product_52,Clothing,107.88,34,2024-02-21,3667.92
1053,Product_53,Toys,109.8,30,2024-02-22,3294.0
1054,Product_54,Clothing,111.72,31,2024-02-23,3463.32
